event_id,user_id,timestamp,device_type,browser,is_vpn,failed_logins,session_duration,bytes_sent,bytes_received,ip,success,label
16,993,2025-02-01 17:05:00,tablet,chrome,1,3,15.444777637006538,8365.67550940351,19567.536099587098,10.50.40.134,1,0
17,97,2025-01-19 09:52:00,mobile,chrome,0,1,55.41985251612408,15714.58255999109,14520.828415815211,10.217.105.2,1,0
18,781,2025-01-16 22:46:00,mobile,chrome,0,0,22.485369466596964,47004.08091781522,16441.82610802756,10.128.176.107,1,0
19,1600,2025-02-10 13:08:00,desktop,chrome,1,0,,4758.486147090658,9667.324033501116,10.0.226.163,1,0
20,1281,2025-02-10 06:28:00,desktop,chrome,0,3,37.32509722632125,12879.193461302626,9858.242070743736,10.69.253.46,1,0
21,82,2025-02-02 09:47:00,desktop,safari,1,0,24.25221939502494,18108.17661227972,20030.441510376913,10.104.239.174,1,0
22,701,2025-02-04 02:33:00,mobile,chrome,1,1,19.638550909964668,20782.646569612152,25527.23002277454,10.75.106.76,1,0
23,704,2025-02-19 13:26:00,mobile,edge,0,2,23.829018857281444,26289.139145867866,59920.22209355288,10.79.149.144,1,0
24,69,2025-02-15 06:26:00,mobile,edge,0,1,64.0381269436561,9328.26889628031,55904.498896595054,10.106.103.153,0,0
25,700,2025-02-15 01:10:00,tablet,safari,0,1,48.95318176528429,55252.324541743925,17059.318364255814,10.216.170.122,1,0
26,1650,2025-01-17 19:42:00,tablet,chrome,0,0,196.97643743480268,18352.18721465439,118523.35845536667,10.173.121.185,0,0
27,261,2025-01-04 19:47:00,desktop,chrome,1,2,76.50641203062722,10919.590021839407,90590.72337337141,10.16.185.193,1,0
28,1030,2025-01-28 12:23:00,mobile,chrome,0,0,0.9944393734045831,43356.240833622396,7969.208515723989,10.222.225.216,1,0
29,1314,2025-01-21 07:20:00,tablet,firefox,0,1,39.654698681974374,52754.53808093312,6785.272645129451,10.32.18.65,1,0
30,1374,2025-01-21 02:18:00,mobile,chrome,0,1,59.93218073027464,29953.82564555651,23389.904779538952,10.84.108.211,1,0
31,660,2025-02-01 04:56:00,mobile,chrome,0,1,93.94096816976796,99173.1726634361,7196.113296677693,10.201.78.146,1,0
32,1151,2025-02-25 12:30:00,mobile,chrome,0,1,39.86202365486447,6701.275845158171,17250.873415381633,10.83.21.204,1,0
33,1446,2025-02-18 05:14:00,desktop,chrome,0,1,212.41891652795152,36250.56869432324,21080.139284436333,10.189.56.210,1,0
34,1229,2025-02-10 12:02:00,mobile,chrome,0,1,224.46106670118783,10048.568771923217,38966.929411258374,10.108.204.5,1,0
35,1676,2025-02-12 20:11:00,mobile,chrome,0,0,67.31637896174752,86768.70511768977,14532.429422817768,10.92.182.5,1,0
36,438,2025-01-25 19:50:00,desktop,chrome,1,2,48.035983402679115,35128.83611403542,14253.15769498561,10.127.49.118,1,0
37,216,2025-02-02 23:08:00,desktop,edge,0,1,0.6818949502653301,62605.927082228416,39273.06168183706,10.39.159.116,1,0
38,1870,2025-01-27 00:33:00,mobile,firefox,0,2,102.0702418934163,91768.92203318201,46178.19771804988,10.251.58.192,1,0
39,1469,2025-02-18 12:03:00,mobile,chrome,0,1,212.53143761086534,41594.67256256591,15133.449398163491,10.49.46.169,1,0
40,896,2025-03-01 10:04:00,desktop,safari,0,1,10.703038308917996,15736.641785045902,26877.687793074245,10.56.229.202,1,0
41,1142,2025-01-27 02:17:00,mobile,firefox,0,0,27.667358575956943,6185.970064214423,13411.517798922683,10.86.110.61,1,0
42,1841,2025-02-13 06:05:00,mobile,chrome,0,4,35.948371542314476,17560.310719059908,32073.339795567463,10.40.200.24,0,0
43,1734,2025-01-04 08:08:00,tablet,safari,0,2,131.31354721982177,14697.280087206333,14910.974185772513,10.240.173.86,1,0
44,1614,2025-01-25 02:33:00,desktop,chrome,0,1,410.81063948292615,18043.204537109945,15646.076226832396,10.5.202.214,1,0
45,1182,2025-02-22 05:34:00,mobile,safari,1,2,94.55120578618536,,11784.771176676337,10.165.177.188,1,0
46,1441,2025-02-11 04:25:00,desktop,chrome,0,0,431.9905746851814,15749.21790313011,18128.95583081089,10.227.199.85,0,0
47,1161,2025-02-01 14:17:00,desktop,chrome,0,3,16.17380473621871,67749.75655077957,8296.504818441997,10.26.175.6,1,0
48,921,2025-01-13 19:48:00,mobile,chrome,0,1,98.57568346411755,22957.905113873476,6435.352574268204,10.66.143.220,1,0
49,1348,2025-02-18 12:06:00,desktop,safari,0,1,112.99340887285778,10296.931095055124,82449.13530775059,10.92.192.40,1,0
50,46,2025-02-28 05:33:00,desktop,safari,0,1,96.16561777987727,40379.59942162436,47428.27149566105,10.32.59.104,1,0
51,1653,2025-01-24 12:35:00,mobile,edge,1,1,488.17143539539546,13029.538413873386,25157.183114711224,10.122.149.153,1,0
52,631,2025-02-18 13:44:00,mobile,chrome,0,0,3.5825879912859278,38111.50802856041,4897.48589449809,10.148.57.202,0,0
53,1091,2025-02-05 07:30:00,mobile,edge,0,0,6.736133285509758,16841.598359453692,16340.514338725692,10.24.40.4,1,0
54,1330,2025-01-24 20:17:00,desktop,chrome,0,3,35.019660790797765,7609.959831939798,124206.9107641918,10.128.75.15,1,0
55,656,2025-01-20 20:46:00,desktop,chrome,0,0,94.09963073266692,58310.479445139266,17947.10860395741,10.156.29.55,1,0
56,662,2025-01-31 04:16:00,desktop,chrome,1,1,56.920956660488095,4982.351551457768,2106.4120079829213,10.120.135.166,1,0
57,354,2025-01-25 13:47:00,mobile,chrome,1,0,220.79975762631454,51652.36457185704,31376.194154201512,10.14.70.149,1,0
58,199,2025-02-07 00:35:00,desktop,chrome,0,1,19.378653179897757,61821.63837334991,45291.262196742435,10.252.191.188,1,0
59,1764,2025-01-09 20:15:00,desktop,firefox,0,0,56.78817878232802,45754.84791327566,29732.36978667045,10.120.160.117,1,0
60,1036,2025-01-29 15:02:00,mobile,chrome,0,1,26.217945967597025,75119.31479838956,34448.50818529677,10.203.230.123,1,0
61,1359,2025-02-14 11:54:00,tablet,edge,0,3,60.46363090218942,26059.458602061022,67058.0843418782,10.179.37.149,1,0
62,309,2025-02-20 16:51:00,mobile,edge,0,1,267.697497125235,133673.23981713108,47652.322337447324,10.241.252.39,1,0
63,1706,2025-01-17 19:36:00,desktop,edge,1,2,297.58821668205053,25624.951064673656,11207.761127113796,10.103.81.234,1,0
64,613,2025-02-06 00:21:00,desktop,chrome,0,1,10.186747215827157,8131.476731151114,1527.6695584784422,10.20.148.128,1,0
65,921,2025-01-19 02:29:00,desktop,chrome,1,0,88.20877320006446,21478.788180360112,53850.392506100834,10.145.188.198,0,0
66,1004,2025-02-17 09:34:00,desktop,edge,0,0,43.36625967895582,11126.895624164072,7915.6293843624535,10.40.79.248,1,0
67,1488,2025-01-22 06:01:00,mobile,chrome,0,1,244.47634111304689,58197.08036090463,3978.7083107173476,10.135.7.74,1,0
68,233,2025-02-10 09:47:00,desktop,chrome,0,1,89.73004585541146,30696.562961492084,70693.90632478347,10.90.108.93,1,0
69,1815,2025-01-26 22:15:00,mobile,firefox,1,2,9.65953800845773,15335.441914083012,25010.257963448825,10.11.174.150,1,0
70,226,2025-01-17 00:44:00,desktop,firefox,0,4,,77911.21217674165,32046.958970566877,10.65.144.0,1,0
71,1275,2025-02-04 13:40:00,desktop,chrome,0,2,8.054837577570638,27306.19106574934,47238.65959174317,10.239.60.218,1,0
72,421,2025-02-07 10:28:00,mobile,chrome,0,1,210.5432413447392,46651.26379943021,8562.596927753495,10.98.252.240,1,0
73,1847,2025-02-10 23:14:00,desktop,chrome,0,2,38.565165834368116,12898.753804676495,9832.97158752569,10.213.147.108,1,0
74,1184,2025-02-17 11:24:00,mobile,chrome,0,1,63.852442204133965,100300.64940635364,274377.80699156824,10.12.252.183,1,0
75,1891,2025-02-10 12:59:00,desktop,chrome,0,1,197.26432939208888,2586.3875087060014,61692.07003528523,10.101.92.222,1,0
76,1867,2025-02-21 01:56:00,mobile,edge,0,0,225.71586479667212,32535.895448992047,27405.553258119733,10.9.2.20,1,0
77,536,2025-01-26 10:06:00,mobile,safari,0,1,0.42878090938711105,64447.122163905726,9655.060796418335,10.237.32.189,0,0
78,479,2025-01-31 12:30:00,mobile,chrome,0,1,166.92760378420274,22196.815596635333,7517.821224605526,10.151.61.111,1,0
79,226,2025-01-29 21:55:00,mobile,chrome,0,1,17.445275431513913,18336.686438379,180028.74099069473,10.117.121.150,1,0
80,1440,2025-02-04 16:34:00,desktop,edge,1,0,187.26476379775337,142724.03726959546,44689.051633013,10.70.153.86,1,0
81,50,2025-01-09 10:03:00,mobile,safari,0,4,161.33475908097208,62455.34101683125,16515.14047417259,10.190.199.155,1,0
82,379,2025-02-21 06:00:00,mobile,chrome,0,3,154.71123997642647,18262.941748939902,379885.0799143486,10.7.247.217,1,0
83,1818,2025-02-01 06:58:00,tablet,edge,0,1,168.07215879213976,9339.314695386687,32171.39417554115,10.172.141.57,1,0
84,1272,2025-02-03 04:55:00,mobile,edge,0,3,27.593394636804017,11826.122499469091,14107.677721954227,10.134.197.116,1,0
85,902,2025-02-22 14:57:00,mobile,chrome,0,1,9.021791146425784,4602.5243906693295,5664.5136223148,10.182.146.137,1,0
86,276,2025-01-28 21:20:00,desktop,firefox,0,1,73.98909132820485,42717.335372675334,20043.61374474624,10.241.191.65,1,0
87,1691,2025-01-28 15:02:00,desktop,firefox,0,1,375.36265553591954,5583.427941084391,19779.9122963825,10.13.20.1,1,0
88,1691,2025-02-03 21:49:00,mobile,safari,0,2,490.43638444107125,44903.490407518024,5151.568425902992,10.133.242.104,1,0
89,93,2025-02-26 06:44:00,mobile,chrome,0,0,,30123.189709652183,206624.00324683337,10.79.176.195,0,0
90,1486,2025-01-16 04:58:00,desktop,firefox,0,1,39.24338682013906,5399.8714551636,29564.553238527606,10.27.89.234,1,0
91,659,2025-01-10 08:19:00,desktop,chrome,0,1,19.688124114984635,119769.27298347691,13071.400145110088,10.58.159.50,1,0
92,1362,2025-01-07 11:19:00,desktop,chrome,0,2,7.599912196708433,58011.85404196798,133375.76824998742,10.87.122.31,1,0
93,590,2025-02-14 05:08:00,mobile,firefox,1,2,21.290176126642436,15702.31994370704,43325.695363572384,10.75.246.47,1,0
94,30,2025-01-01 15:23:00,mobile,chrome,1,1,16.297142196085876,5760.049089573914,13572.610554107592,10.2.40.116,1,0
95,1508,2025-02-12 11:30:00,desktop,safari,0,1,116.4506558576803,5221.189129327487,8245.344798001259,10.49.46.169,1,0
96,1673,2025-02-23 01:32:00,mobile,chrome,0,0,1.7915653692482378,29060.786689352004,40195.75692127827,10.140.3.153,0,0
97,1368,2025-02-10 21:24:00,mobile,safari,0,1,40.55047354852635,51734.415685080734,13684.773000033789,10.75.163.242,1,0
98,302,2025-01-11 05:39:00,mobile,safari,0,2,12.085762599651284,21838.051701301316,62840.46940734355,10.210.58.197,0,0
99,901,2025-02-09 18:30:00,desktop,firefox,0,0,79.3620964516784,11374.77100619503,5015.491057639955,10.225.85.115,1,0
100,1067,2025-01-27 13:43:00,tablet,firefox,1,0,10.8375547912839,6036.277016895616,13054.744734111433,10.94.154.69,1,0
101,1588,2025-01-02 08:07:00,tablet,safari,0,0,14.55677705947315,96396.53703733909,74707.94349904994,10.85.14.23,1,0
102,1554,2025-01-12 20:37:00,mobile,chrome,0,0,306.89000940285746,34418.92010787387,4511.751875170706,10.108.234.99,1,0
103,1776,2025-02-14 12:39:00,mobile,safari,0,0,286.66142620169774,9793.719857851484,16492.03786137024,10.8.114.77,1,0
104,1264,2025-02-03 15:48:00,tablet,edge,0,0,114.61126733965634,18719.53258605087,70608.67571083758,10.90.24.19,0,0
105,1880,2025-01-30 23:32:00,desktop,chrome,0,0,134.6937406854186,89458.34738504254,58745.57546589493,10.117.121.150,0,0
106,1639,2025-02-16 13:53:00,desktop,chrome,1,1,46.78190238928148,23721.980589365157,47018.202879227436,10.233.111.33,1,0
107,401,2025-02-01 10:49:00,desktop,chrome,1,1,85.28611630097069,37329.677466911555,63126.08828474732,10.51.120.9,1,0
108,1418,2025-02-28 02:18:00,mobile,chrome,1,3,147.65373979358245,109600.31181745573,177606.4181372211,10.112.22.75,1,0
109,171,2025-01-04 01:15:00,mobile,safari,0,2,197.21364119228207,82494.10777744988,4080.630591822898,10.142.67.53,1,0
110,1513,2025-01-18 04:15:00,desktop,chrome,0,1,58.68016049516566,67474.86495155116,6195.842391592471,10.9.160.238,1,0
111,443,2025-01-12 07:16:00,mobile,chrome,0,2,7.66397098911001,28528.55972474063,18372.236491306503,10.251.136.105,1,0
112,598,2025-01-25 19:58:00,desktop,chrome,1,1,29.972278484990923,44531.42906009365,27713.187801695934,10.138.72.100,1,0
113,1149,2025-02-24 15:50:00,tablet,safari,0,4,62.09335102518103,83088.27795130809,36600.880556021126,10.58.238.177,1,0
114,759,2025-01-25 13:29:00,mobile,chrome,0,2,81.85464986326248,38188.672031636335,10649.639384520235,10.94.154.69,1,0
115,1296,2025-01-19 22:21:00,desktop,firefox,1,2,227.86106102499645,25632.739902569174,100627.31492325109,10.9.193.186,1,0
116,1003,2025-01-06 01:43:00,mobile,safari,0,3,95.79620209850005,13093.660940571835,44924.19952763587,10.11.21.192,0,0
117,1273,2025-01-24 15:11:00,tablet,firefox,0,2,57.47789920762869,43877.49125527553,238226.5691868839,10.95.61.105,1,0
118,1173,2025-01-14 17:31:00,mobile,edge,0,1,28.311415987715797,3951.7439595322253,86664.44082787025,10.162.114.138,1,0
119,413,2025-01-12 08:27:00,mobile,safari,0,3,140.95814509381705,6939.839945828381,54791.98716907322,10.29.229.197,0,0
120,1384,2025-01-09 00:37:00,desktop,chrome,0,1,291.0261593475893,64258.16488756549,8520.081806587928,10.223.99.230,1,0
121,1918,2025-02-07 22:21:00,tablet,safari,0,1,43.76542448667703,99558.59023725224,7592.303257406742,10.12.180.231,1,0
122,1112,2025-02-12 12:47:00,desktop,chrome,0,4,6.617206767996742,28670.585840421783,18247.424010962204,10.49.19.247,1,0
123,1215,2025-02-14 10:36:00,desktop,edge,0,0,17.38187231598291,52559.35521536612,8038.4141584419,10.151.231.146,1,0
124,1421,2025-01-04 05:06:00,tablet,edge,0,3,140.67524961956036,104358.36415312615,2730.3535786019715,10.122.184.29,0,0
125,170,2025-02-25 06:37:00,desktop,chrome,0,0,256.9520420615771,4530.539398503537,16729.763260772874,10.81.2.141,1,0
126,302,2025-01-31 10:12:00,desktop,chrome,0,1,182.09371447410393,2712.060150659858,423401.4832903203,10.26.160.169,1,0
127,1117,2025-02-03 17:22:00,mobile,firefox,0,1,16.858721474553423,8572.92723681242,78392.56721821791,10.100.25.109,1,0
128,790,2025-02-22 15:27:00,mobile,chrome,0,1,44.76385405178942,7802.335737943666,6230.258599610619,10.129.148.27,1,0
129,1384,2025-01-17 12:54:00,mobile,chrome,0,1,85.20729903162753,13785.912175328052,32582.1243729573,10.204.113.129,1,0
130,1827,2025-01-31 04:50:00,tablet,edge,0,2,105.20333087277193,573101.8253848666,23325.465348136615,10.93.156.22,1,0
131,1565,2025-01-05 06:11:00,mobile,chrome,1,0,46.976700572635956,3579.84124639687,9608.15167876981,10.27.39.149,1,0
132,434,2025-01-30 13:00:00,mobile,chrome,1,1,59.60406488895087,7437.901005029451,34354.12784205331,10.108.106.140,1,0
133,615,2025-01-16 23:11:00,mobile,chrome,0,0,81.05758815110222,89489.40307124099,8326.046573481157,10.233.18.75,0,0
134,288,2025-01-11 22:37:00,mobile,safari,0,0,44.53889807594624,124946.75730937894,7940.954554784341,10.160.134.3,1,0
135,196,2025-02-07 02:26:00,desktop,edge,0,0,46.476865623182206,31837.97755954154,11291.338219051408,10.142.140.136,1,0
136,1490,2025-01-08 19:19:00,mobile,edge,0,1,124.36983613783327,2549.805820455373,3453.3397673906925,10.238.253.130,0,0
137,1385,2025-02-28 10:42:00,desktop,chrome,0,1,153.0192678530224,11057.306097760054,23289.95385278668,10.11.3.219,1,0
138,389,2025-01-14 22:47:00,desktop,chrome,0,1,10.27198766094367,10941.599692366786,23586.976167620243,10.208.201.207,1,0
139,1410,2025-01-05 18:02:00,desktop,edge,0,2,134.93026024748352,18899.793685533845,7209.144950736127,10.35.186.107,1,0
140,916,2025-01-27 19:09:00,mobile,edge,0,3,194.95845125075704,15942.118953707255,53865.06769485337,10.189.107.134,1,0
141,1753,2025-01-24 07:14:00,desktop,chrome,0,1,110.4857803455749,219516.38254177614,9174.215874788053,10.161.251.78,1,0
142,1424,2025-02-09 11:17:00,mobile,chrome,1,1,2.098059136809876,42017.571236425014,15605.745497886188,10.255.61.45,1,0
143,542,2025-02-10 00:49:00,mobile,firefox,0,1,56.59483799099715,20225.353670995948,7434.838335809733,10.198.54.51,1,0
144,970,2025-02-05 12:46:00,mobile,chrome,0,1,216.16638785684648,23340.586871544056,36017.47878450707,10.179.186.76,1,0
145,467,2025-02-04 11:22:00,mobile,safari,0,4,46.47299613378539,3524.1788603821255,13317.705513786015,10.155.193.245,0,0
146,1804,2025-02-16 15:04:00,desktop,chrome,0,1,277.16373100350603,3878.4996334708576,51243.92542563191,10.3.7.46,1,0
147,1029,2025-02-09 02:26:00,mobile,safari,0,1,4.489712093416395,195417.72550537932,48437.908159645805,10.69.177.141,1,0
148,1757,2025-01-09 08:49:00,desktop,chrome,0,0,16.92288640764237,13372.86744438828,32081.936629362226,10.96.236.206,0,0
149,1023,2025-01-28 19:01:00,desktop,chrome,0,2,1.3028848089049572,2505.950280289484,42956.326552967264,10.43.7.208,1,0
150,1006,2025-02-11 06:19:00,mobile,chrome,0,0,58.973475645343704,50309.09109746445,87346.3184521505,10.236.238.193,1,0
151,370,2025-01-17 00:31:00,mobile,chrome,0,1,2.0308999823436866,94332.93919459725,46273.69364587483,10.178.224.250,1,0
152,1922,2025-02-21 19:40:00,desktop,firefox,0,3,239.5556812103358,139538.68819320673,22082.881038490203,10.163.162.75,0,0
153,1346,2025-01-29 23:09:00,mobile,chrome,0,1,94.49443653792243,22213.600692044885,31186.122778144094,10.113.19.213,1,0
154,584,2025-01-20 06:40:00,mobile,chrome,1,1,73.29761349820467,27196.011219277047,39836.41784813657,10.109.9.42,0,0
155,1680,2025-01-23 21:24:00,desktop,safari,0,1,149.69102697336263,25326.39460544049,10960.950624180286,10.103.81.234,1,0
156,468,2025-02-07 03:35:00,mobile,chrome,0,2,81.3737987877278,20605.758702932253,11922.5024506214,10.211.28.243,1,0
157,194,2025-02-12 13:23:00,mobile,firefox,1,1,42.39774771630162,17341.636391575583,52463.16316808754,10.12.181.238,1,0
158,1341,2025-01-16 08:17:00,mobile,chrome,0,0,140.07843182621278,3238.9984865855367,56637.215239445344,10.125.137.61,1,0
159,1497,2025-01-11 07:08:00,desktop,edge,0,2,505.32039516930615,9535.578094846953,199428.96568430535,10.96.50.138,1,0
160,1146,2025-01-06 11:58:00,mobile,edge,1,2,47.547088375028885,17059.78184960511,25091.068499754743,10.242.253.164,1,0
161,1428,2025-01-30 18:27:00,desktop,chrome,0,4,460.4427579935648,,50181.45294659311,10.114.133.10,1,0
162,503,2025-02-25 15:07:00,mobile,safari,0,2,22.319346190072718,4857.404829536488,23789.38176791694,10.179.159.203,1,0
163,556,2025-02-27 13:03:00,mobile,safari,0,2,92.58853652145346,8639.436749499926,338129.6657524843,10.155.158.42,1,0
164,743,2025-02-03 14:04:00,desktop,edge,0,2,148.00348695621722,45615.538846297735,184216.40612529885,10.78.69.240,1,0
165,416,2025-02-01 21:46:00,desktop,safari,0,3,101.33354059393965,11852.976535349693,5882.1401142035575,10.226.198.233,1,0
166,467,2025-01-31 04:46:00,tablet,chrome,0,2,156.43123334015058,15352.162412435484,73093.18321872159,10.249.58.94,0,0
167,96,2025-01-15 05:34:00,mobile,chrome,1,1,4.207181175696105,12175.832409290093,4529.22232078002,10.42.162.73,1,0
168,474,2025-01-25 22:54:00,mobile,edge,0,2,175.0223116260029,24237.91686904226,448094.73557660205,10.100.2.137,1,0
169,1095,2025-02-26 03:37:00,desktop,chrome,0,2,23.02196809813554,16291.364511473519,19775.988505968366,10.28.198.175,0,0
170,736,2025-02-06 23:11:00,tablet,chrome,0,2,84.58275208105019,12021.96761287321,17101.743259324547,10.236.81.13,1,0
171,859,2025-01-15 15:35:00,desktop,chrome,0,0,129.0589071429968,160680.92053031072,793.0480295109132,10.225.1.137,0,0
172,1849,2025-01-06 06:12:00,desktop,chrome,0,3,149.65280171261392,7937.9364535868635,18792.110180031184,10.99.168.29,1,0
173,13,2025-02-15 01:41:00,desktop,chrome,1,1,9.784322907577398,18443.148247629742,9786.950364892979,10.56.213.51,1,0
174,1670,2025-02-24 04:16:00,mobile,chrome,1,0,,13682.114676613905,13253.982034317954,10.250.29.166,1,0
175,67,2025-01-07 13:43:00,desktop,chrome,0,3,176.0395379750889,35443.04268313415,39960.29139465061,10.111.134.131,1,0
176,1025,2025-01-23 12:26:00,desktop,chrome,1,0,78.9394187423503,56711.81231809024,55714.857559092634,10.28.127.120,0,0
177,261,2025-02-21 03:00:00,mobile,safari,0,3,159.81864985390732,29553.38895444338,17251.016394479393,10.217.36.96,1,0
178,956,2025-01-16 04:37:00,mobile,firefox,0,3,14.791621910718671,17970.7590664616,26270.49820321355,10.138.209.140,1,1
179,1790,2025-01-11 20:01:00,mobile,safari,0,2,74.87154279616126,13508.910448857383,38305.19208483178,10.124.242.133,1,0
180,63,2025-01-24 15:37:00,mobile,chrome,0,0,164.5115583334005,21382.227590789993,19260.552521185244,10.183.161.3,1,0
181,1014,2025-01-24 15:37:00,mobile,safari,1,0,139.01745321560307,5318.233543193324,6576.524806550871,10.184.178.148,1,0
182,925,2025-01-29 21:14:00,mobile,chrome,0,0,40.68646111520563,44891.50379615098,156447.6660822592,10.166.235.180,1,0
183,903,2025-02-27 22:29:00,desktop,chrome,0,0,55.662365074031534,114115.01447459478,6637.766403170051,10.247.140.91,1,0
184,1248,2025-02-28 08:19:00,desktop,chrome,1,1,6.753858749345486,845112.4769476537,45519.337822298265,10.98.252.240,1,0
185,653,2025-02-04 18:19:00,mobile,edge,0,1,51.767342611247656,,79701.99901367842,10.94.154.69,1,0
186,1558,2025-01-05 12:24:00,desktop,chrome,0,1,53.57503281148154,3705.563359684733,153823.13604762935,10.199.210.255,1,0
187,477,2025-01-16 20:09:00,mobile,chrome,0,0,69.22730424822079,96060.11768933959,16509.31235368442,10.188.1.249,1,0
188,712,2025-01-11 20:14:00,mobile,chrome,0,2,27.265071324462177,20971.62222064857,20341.140178158206,10.2.40.116,1,0
189,937,2025-01-01 00:54:00,tablet,chrome,0,2,131.10360908555472,29048.87062318013,48590.05630494994,10.77.9.179,0,0
190,1839,2025-01-23 23:09:00,desktop,chrome,0,0,105.45389280213735,14573.701849971978,32274.51220676921,10.214.186.31,1,0
191,1068,2025-01-01 09:46:00,desktop,chrome,0,0,201.39922071580472,71698.13582341801,43516.84803726242,10.135.19.196,1,0
192,1681,2025-02-04 11:02:00,desktop,chrome,0,2,44.339654466257954,11562.733117369346,95090.74400192764,10.230.179.206,1,0
193,280,2025-01-17 11:24:00,mobile,chrome,0,3,156.44420313727758,17291.723888863813,39782.5895712456,10.24.200.126,1,0
194,165,2025-02-13 11:37:00,mobile,firefox,0,2,40.86718047000617,6357.004675045081,10081.310264533062,10.251.190.233,1,0
195,1004,2025-02-01 14:40:00,mobile,safari,1,1,173.873843588178,16941.52658878638,380934.29873560456,10.32.189.36,1,0
196,1806,2025-02-27 01:06:00,mobile,edge,0,0,201.485803158786,36251.92921106773,23228.334596523775,10.161.163.130,1,0
197,469,2025-01-30 02:14:00,tablet,chrome,0,3,23.75599987752029,43379.6493288202,33216.92169751965,10.147.87.17,1,0
198,446,2025-01-10 09:26:00,desktop,chrome,0,1,131.1355510124857,33450.54858754847,13363.108677802606,10.190.25.170,1,0
199,297,2025-02-25 07:30:00,desktop,edge,0,0,122.96607878481001,4824.094628046367,2336.033496632732,10.139.12.10,1,0
200,1847,2025-01-19 12:49:00,desktop,firefox,0,1,7.290718165922151,4606.942354927955,3107.1990135478213,10.88.209.15,1,0
201,185,2025-02-15 20:17:00,desktop,chrome,0,3,202.9048644211631,42172.12772291798,24775.180882971108,10.57.5.135,1,0
202,1262,2025-02-16 23:09:00,mobile,chrome,0,1,284.44480320898253,243378.40893946556,4325.229167271303,10.95.78.155,0,0
203,761,2025-02-25 11:37:00,desktop,safari,1,1,18.842345898132752,11612.322784619868,3567.7162248461805,10.249.151.1,1,0
204,824,2025-02-08 09:49:00,desktop,safari,1,3,106.95669478585415,,32911.24992575205,10.105.115.96,1,0
205,1422,2025-01-31 16:57:00,desktop,chrome,0,0,389.05078863947404,19397.141002914024,32133.40515495558,10.130.140.92,1,0
206,873,2025-01-24 02:12:00,mobile,chrome,0,4,59.14000244760141,44005.10093445724,18370.269646852823,10.199.48.27,1,0
207,47,2025-01-27 19:11:00,desktop,firefox,0,2,60.514602795681725,25030.629302354675,75932.48431231151,10.220.188.158,1,0
208,1126,2025-02-16 19:41:00,mobile,chrome,0,2,57.7116985759156,25712.313163531795,13949.87582649882,10.100.204.23,0,0
209,52,2025-02-03 23:10:00,mobile,safari,0,1,50.63720065465151,12606.205809910842,35271.07451576353,10.5.202.214,1,0
210,1688,2025-01-03 22:43:00,desktop,chrome,0,6,161.4891164067518,22002.04526978958,61082.722814845074,10.9.67.101,1,0
211,1892,2025-01-23 07:53:00,tablet,chrome,0,0,90.41775053574395,29105.139444911998,9812.117843869315,10.247.98.109,1,0
212,1674,2025-02-24 20:19:00,desktop,safari,0,2,190.19826013371826,9204.969220113431,15504.389783605722,10.61.70.64,1,0
213,828,2025-01-13 15:34:00,mobile,edge,0,2,128.28186132872855,45094.20854949282,19323.537018169995,10.165.76.82,1,0
